pitchid,date,time,pa_number,pa_pitch_number,pitcher,pitcherid,throws,field_team,batter,batterid,batside,bat_team,pitcher_set,inning,inning_half,outs,balls,strikes,pitch_type_tagged,pitch_type_auto,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,notes,rel_speed,vert_rel_angle,horz_rel_angle,spin_rate,spin_axis,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_z,plate_loc_x,zone_speed,vert_appr_angle,horz_appr_angle,zone_time,exit_speed,angle,direction,hit_spin_rate,pos_at_100_x,pos_at_100_y,pos_at_100_z,distance,last_tracked_distance,bearing,hang_time,pfx_x,pfx_z,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,home_team,away_team,stadium,levelid,leagueid,trackman_gameid,pitch_uid,effective_velo,max_height,measured_duration,speed_drop,pitch_last_measured_x,pitch_last_measured_y,pitch_last_measured_z,contact_position_x,contact_position_y,contact_position_z
285,2019-09-24,04:47:56,2,2,"Helsley, Ryan",664854,Right,"St. Louis Cardinals","Kelly, Carson",608348,Right,"Arizona Diamondbacks",,10,Bottom,1,1,0,Undefined,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,86.5293,-2.46584,-1.14141,2434.77,102.017,NULL,6.18382,0.431423,5.73257,-35.6108,1.79693,-8.58778,0.918319,-1.34718,79.924,-9.06209,-2.75064,0.440202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.28988,1.64295,-0.331174,50,5.95665,2.7855,-125.811,-6.57521,6.88199,25.3102,-29.5384,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,1172cf7f-4d5c-40b5-97c0-8d7ad750267c,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
564,2019-09-24,08:13:16,3,1,"Ginkel, Kevin",656464,Right,"Arizona Diamondbacks","Arozarena, Randy",668227,Right,"St. Louis Cardinals",,19,Top,2,0,0,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,93.8625,-3.27024,-3.59762,2148.9,213.148,NULL,6.51827,2.46879,6.35854,-17.1306,14.0193,9.17263,2.07216,-0.0817955,86.0569,-6.49785,-1.86199,0.401698,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-6.01189,8.58126,-2.21275,50,6.27305,8.28122,-136.278,-8.33804,-11.3259,29.4505,-16.0077,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,11a65b89-d0a4-42ee-8448-e3157ec33609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
446,2019-09-24,06:47:28,1,4,"Ponce de Leon, Daniel",594965,Right,"St. Louis Cardinals","Kelly, Carson",608348,Right,"Arizona Diamondbacks",,15,Bottom,0,3,0,Undefined,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,statcast,92.4721,0.333142,-3.26431,2531.28,223.277,NULL,6.52921,1.75263,5.69771,-17.8437,14.9649,14.1166,5.35315,-0.115822,84.3873,-3.00768,-0.622057,0.412254,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-8.44965,7.92051,-1.4875,50,6.54609,7.17166,-134.383,0.159676,-15.4779,28.6547,-17.6655,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,121e997b-775e-4417-9cbd-1ae19d815d26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,2019-09-24,02:56:10,2,8,"Leake, Mike",502190,Right,"Arizona Diamondbacks","Bader, Harrison",664056,Right,"St. Louis Cardinals",,5,Top,1,2,2,Undefined,Cutter,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,91.3784,0.334137,-2.77653,2203.31,190.147,NULL,4.89431,2.66048,5.33926,-25.8875,7.92337,1.42309,3.05081,0.172613,84.1829,-4.45546,-2.51305,0.418504,74.8341,20.2831,168.206,3340.37,NULL,NULL,NULL,160.489,NULL,172.891,1.87768,-1.4501,4.09585,-2.41121,50,4.90599,6.39077,-132.856,-0.177597,-2.61562,26.01,-24.7861,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,12b5a980-146f-4e3d-b421-0075268384e7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
468,2019-09-24,07:02:59,2,4,"Duplantier, Jon",641541,Right,"Arizona Diamondbacks","Carpenter, Matt",572761,Left,"St. Louis Cardinals",,16,Top,1,2,1,Undefined,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,93.0022,-1.6163,0.463637,2205.57,197.461,NULL,5.98837,1.06679,6.78619,-13.7858,17.1742,5.41018,3.36383,1.94083,85.3764,-4.24088,1.49674,0.400472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.88721,9.99529,-1.09894,50,5.87823,-1.25055,-135.559,-4.21658,-5.38972,28.7443,-13.5153,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,13652ea0-561c-4314-82fe-f035e052d53e,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,2019-09-24,03:57:45,2,3,"Crichton, Stefan",592233,Right,"Arizona Diamondbacks","Goldschmidt, Paul",502671,Right,"St. Louis Cardinals",,8,Top,1,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,92.8093,-0.513197,-2.97205,1967.22,246.854,NULL,5.37052,2.89137,5.97735,-25.2973,6.94458,16.3083,2.7861,1.49321,84.8766,-5.26751,0.0993805,0.408678,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.64654,3.89914,-2.66564,50,5.31588,6.46319,-134.954,-2.05338,-17.795,29.2942,-24.9813,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,13761a7b-e004-43b5-b0bd-84cc85354918,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,2019-09-24,02:47:03,5,2,"Flaherty, Jack",656427,Right,"St. Louis Cardinals","Rojas, Josh",668942,Left,"Arizona Diamondbacks",,4,Bottom,2,0,1,Undefined,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,87.6624,-1.68751,-2.73643,2539.77,157.664,NULL,5.4466,2.59004,6.38088,-28.2572,7.5827,-3.12777,1.53738,-0.189581,80.0028,-7.02916,-3.331,0.430879,71.8543,10.0694,-171.685,NULL,NULL,NULL,NULL,89.1509,NULL,-172.88,0.946717,0.897142,4.67793,-2.39171,50,5.31195,6.18271,-127.464,-4.57638,1.46446,28.1065,-24.5379,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,138f459f-109f-462e-84de-78f23a556df5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,2019-09-24,02:24:56,1,1,"Flaherty, Jack",656427,Right,"St. Louis Cardinals","Ahmed, Nick",605113,Right,"Arizona Diamondbacks",,3,Bottom,0,0,0,Undefined,Slider,InPlay,Undefined,Undefined,Out,0,0,statcast,85.6995,-1.26195,-2.59679,2559.02,113.226,NULL,5.68073,2.54174,6.38602,-33.8616,3.23328,-7.60654,1.69687,-0.482156,79.2334,-7.61925,-4.03407,0.438358,56.8043,-26.9032,34.9363,NULL,NULL,NULL,NULL,6.96985,NULL,21.3721,0.0344063,3.47687,2.11212,-2.35159,50,5.57414,5.8741,-124.735,-3.71617,5.49712,24.262,-28.8347,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,13cacd24-b09f-4c9e-9167-229a59dcbc35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
364,2019-09-24,05:43:57,1,2,"Clarke, Taylor",664199,Right,"Arizona Diamondbacks","Edman, Tommy",669242,Left,"St. Louis Cardinals",,13,Top,0,0,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,78.563,0.261032,-0.613439,2621.73,20.9663,NULL,6.34685,1.39071,5.50104,-62.8225,-16.8896,-6.45725,1.35577,0.278907,72.6922,-11.3538,-1.8228,0.487791,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.25918,-9.06982,-1.3329,50,6.32786,1.42042,-114.258,-1.39663,4.28724,22.0216,-44.1048,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,13f81f49-4a35-4247-ac76-665a3d488036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
314,2019-09-24,05:12:24,2,2,"Helsley, Ryan",664854,Right,"St. Louis Cardinals","Locastro, Tim",641796,Right,"Arizona Diamondbacks",,11,Bottom,1,1,0,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,97.432,-3.73811,-0.525012,2522.01,191.556,NULL,6.21954,0.303188,6.03756,-11.8945,17.3975,3.56211,1.76244,0.113948,88.9583,-5.96894,0.147914,0.389535,88.1904,-21.2889,-72.2142,NULL,NULL,NULL,NULL,5.76392,NULL,-51.5219,0.0326172,-2.0812,10.4993,-0.264226,50,5.92153,1.17425,-141.556,-9.65931,-4.2143,32.9261,-10.9135,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,14228f9c-0ef9-46ab-a721-61ff4d2f68f4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,2019-09-24,03:16:49,2,3,"Leake, Mike",502190,Right,"Arizona Diamondbacks","Ozuna, Marcell",542303,Right,"St. Louis Cardinals",,6,Top,0,1,1,Undefined,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,85.3961,0.717713,-4.25817,1811.13,259.404,NULL,4.82517,2.24071,5.4929,-35.8582,2.86144,15.4692,2.51018,-0.460341,78.4633,-5.93889,-1.38328,0.447855,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-9.32358,1.33156,-1.87831,50,4.86394,8.71171,-123.952,0.357963,-14.5936,23.3638,-30.0898,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,1511f61e-2977-4464-94b8-dba5173d2968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
247,2019-09-24,04:22:08,3,1,"Sherfy, Jimmie",642073,Right,"Arizona Diamondbacks","Bader, Harrison",664056,Right,"St. Louis Cardinals",,9,Top,2,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,statcast,71.766,2.29219,-1.46753,2279.19,81.5688,NULL,5.4531,0.840381,5.78207,-55.4475,-1.08681,-7.02635,2.9667,-1.11067,66.0138,-8.06339,-2.78619,0.530657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.3639,-1.22707,-0.715294,50,5.60872,2.86043,-104.341,2.69966,3.70539,17.6918,-33.5257,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,15444685-8525-4e9d-95d4-6e1ab851ea58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
329,2019-09-24,05:24:47,1,4,"Clarke, Taylor",664199,Right,"Arizona Diamondbacks","Bader, Harrison",664056,Right,"St. Louis Cardinals",,12,Top,0,1,2,Undefined,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,statcast,94.8316,-1.7418,-1.8941,2295,187.644,NULL,6.27732,1.40946,6.3599,-13.271,17.1466,2.30471,3.56724,-0.142058,86.6517,-4.2539,-1.45686,0.396948,76.6423,25.8613,171.251,2701.88,NULL,NULL,NULL,204.88,NULL,177.01,2.45268,-1.79353,9.89318,-1.27364,50,6.14508,4.4916,-138.024,-4.61918,-3.45821,30.8558,-13.0985,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,1570a081-73a9-4ff9-aafd-fdc6fce333fe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
405,2019-09-24,06:19:16,2,5,"Chafin, Andrew",605177,Left,"Arizona Diamondbacks","Bader, Harrison",664056,Right,"St. Louis Cardinals",,14,Top,0,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,statcast,85.7581,-3.48438,2.92907,2487.54,192.981,NULL,6.19191,-1.87122,6.16039,-35.7296,2.04204,0.477985,-0.0122052,0.876497,79.0055,-10.1434,3.01942,0.442338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.589013,2.12545,1.64893,50,5.90896,-6.38339,-124.481,-8.64661,0.920412,25.9459,-28.8527,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,15844361-899c-4f32-8db5-16e29d43300d,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
469,2019-09-24,07:03:22,2,5,"Duplantier, Jon",641541,Right,"Arizona Diamondbacks","Carpenter, Matt",572761,Left,"St. Louis Cardinals",,16,Top,1,3,1,Undefined,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,statcast,91.7105,-2.01093,-1.29698,2180.29,187.581,NULL,5.75143,1.37819,6.926,-14.9665,16.7746,2.23599,2.67242,0.383653,84.0834,-4.86867,-0.868554,0.405492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1.60716,9.94166,-1.29808,50,5.62051,2.96508,-133.633,-5.09789,-2.91017,28.4302,-14.1722,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,1590cad2-c9bb-4d63-9a74-f35e59c72e01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
590,2019-09-24,08:30:58,3,5,"Brebbia, John",605154,Right,"St. Louis Cardinals","Dyson, Jarrod",502481,Left,"Arizona Diamondbacks",,19,Bottom,0,0,2,Undefined,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,statcast,86.6237,-0.87409,-0.983181,2706.59,137.838,NULL,5.84183,2.28517,6.64041,-28.5452,7.21178,-6.55758,2.66282,0.838705,80.1015,-6.27206,-2.22904,0.43038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.37473,4.21481,-2.21619,50,5.77101,2.34702,-126.284,-2.70973,5.48882,23.9878,-25.3189,109,138,ChaseField,MLB,NL,20190924-ChaseField-1,15d423ae-19e5-4da0-b603-8a48f942a34a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
